0,1,2,3,4,5,6
6.34E-06,1.06E-05,1.17E-05,1.46E-05,2.16E-05,9.24E-06,3.84E-06
5.14E-06,3.83E-05,1.82E-05,2.79E-05,2.01E-05,1.79E-05,4.15E-06
1.06E-05,5.00E-05,6.79E-06,1.41E-05,1.78E-05,2.93E-05,8.64E-06
5.35E-06,7.08E-06,8.12E-06,1.15E-05,1.08E-05,3.03E-05,4.26E-06
7.19E-06,1.25E-05,1.08E-05,9.77E-06,8.33E-06,1.98E-05,1.11E-05
8.47E-06,2.18E-05,1.07E-05,1.73E-05,1.30E-05,1.84E-05,9.60E-06
1.26E-05,1.47E-05,1.53E-05,3.55E-05,1.62E-05,2.00E-05,8.86E-06
4.37E-06,1.56E-05,1.28E-05,3.56E-05,2.91E-05,2.17E-05,1.13E-05
5.66E-06,8.76E-06,2.19E-05,1.27E-05,1.72E-05,2.53E-05,7.36E-06
3.21E-06,5.47E-06,6.29E-06,1.66E-05,1.53E-05,5.43E-06,5.32E-06
3.45E-06,1.27E-05,6.32E-06,1.16E-05,1.15E-05,1.21E-05,7.96E-06
7.44E-06,8.41E-06,9.70E-06,1.12E-05,1.22E-05,2.24E-05,7.09E-06
1.96E-06,6.58E-06,4.69E-06,7.30E-06,7.80E-06,1.26E-05,5.12E-06
7.15E-06,1.98E-05,2.04E-05,1.80E-05,2.47E-05,1.67E-05,5.79E-06
8.85E-06,8.51E-06,9.73E-06,1.27E-05,1.56E-05,1.84E-05,7.45E-06
9.17E-06,0.000208938,9.35E-06,2.22E-05,2.71E-05,2.02E-05,5.87E-06
3.36E-06,8.14E-06,5.29E-06,7.26E-06,7.05E-06,1.87E-05,7.08E-06
2.61E-06,8.98E-06,5.45E-06,9.31E-06,9.43E-06,1.66E-05,6.40E-06
4.72E-06,5.62E-06,8.54E-06,1.07E-05,9.35E-06,1.71E-05,2.88E-06
3.77E-06,1.88E-05,9.50E-06,1.18E-05,2.02E-05,3.65E-05,4.93E-06
4.63E-06,9.13E-06,8.86E-06,8.55E-06,7.34E-06,7.85E-06,3.45E-06
3.03E-06,5.86E-06,9.37E-06,8.59E-06,8.25E-06,1.61E-05,5.66E-06
4.48E-06,4.64E-06,9.67E-06,1.91E-05,1.58E-05,6.16E-06,7.43E-06
5.27E-06,7.06E-06,6.52E-06,1.46E-05,1.47E-05,2.35E-05,6.12E-06
5.37E-06,1.00E-05,8.33E-06,1.56E-05,1.55E-05,9.24E-06,8.84E-06
3.09E-06,1.74E-05,4.73E-06,7.44E-06,7.49E-06,1.00E-05,5.14E-06
8.68E-06,7.37E-06,1.60E-05,1.20E-05,1.02E-05,2.11E-05,3.99E-06
3.49E-06,4.54E-06,5.57E-06,1.28E-05,1.55E-05,1.56E-05,3.55E-06
2.29E-06,5.32E-06,4.18E-06,1.30E-05,1.80E-05,2.02E-05,5.50E-06
4.01E-06,1.75E-05,1.01E-05,2.04E-05,2.97E-05,1.54E-05,6.88E-06
2.27E-06,4.48E-06,5.29E-06,7.23E-06,7.53E-06,3.13E-05,6.17E-06
1.72E-06,7.74E-06,2.79E-06,8.41E-06,9.06E-06,1.98E-05,7.05E-06
4.34E-06,6.94E-06,9.23E-06,1.44E-05,1.33E-05,2.80E-05,6.55E-06
2.34E-06,5.94E-06,6.19E-06,9.65E-06,9.87E-06,1.83E-05,4.92E-06
3.33E-06,1.26E-05,8.53E-06,2.06E-05,2.73E-05,1.98E-05,8.25E-06
3.15E-06,3.68E-05,5.90E-06,9.29E-06,9.76E-06,7.44E-06,4.33E-06
2.80E-06,5.92E-06,5.87E-06,1.44E-05,1.32E-05,9.30E-06,6.07E-06
5.86E-06,5.09E-06,5.85E-06,1.43E-05,1.45E-05,1.57E-05,7.09E-06
3.03E-06,6.49E-06,8.09E-06,1.24E-05,1.51E-05,9.43E-06,6.20E-06
4.04E-06,4.82E-06,5.35E-06,8.98E-06,9.00E-06,1.47E-05,3.83E-06
