0,1,2,3,4,5,6
4.69E-05,2.93E-05,7.46E-05,0.000292981,0.002743598,0.000130336,0.000915029
3.79E-05,4.19E-05,0.000106468,0.000268015,0.003208704,6.86E-05,0.000576064
9.97E-05,6.81E-05,0.000112518,0.001308988,0.008943583,0.000130852,0.000762531
0.000120482,0.000226829,0.000302686,0.000627545,0.011270259,0.000290383,0.001694027
7.14E-05,7.77E-05,0.000172791,0.000239563,0.001521455,0.000142185,0.000656164
9.96E-05,7.17E-05,0.000400964,0.000394445,0.003288778,0.000153723,0.001602797
4.02E-05,5.49E-05,0.000380573,0.000319804,0.002369982,7.74E-05,0.001071027
9.62E-05,3.43E-05,0.000144217,0.000246502,0.005164698,0.000339115,0.001058926
0.000110053,6.50E-05,0.000297219,0.000200477,0.002423255,0.000138826,0.000713365
9.43E-05,5.38E-05,0.000134391,0.000256013,0.002766285,0.00012019,0.001590914
7.07E-05,8.65E-05,0.000208664,0.000225643,0.006578083,0.000106546,0.000752404
2.06E-05,3.86E-05,0.000171205,0.000261586,0.002233338,5.36E-05,0.001015335
5.63E-05,7.46E-05,0.000164302,0.000369762,0.004477672,8.48E-05,0.001442388
4.41E-05,5.08E-05,0.00012624,0.00016587,0.001725513,7.66E-05,0.001269495
4.02E-05,9.20E-05,9.00E-05,0.000415071,0.002001621,8.24E-05,0.000676536
2.77E-05,4.97E-05,0.000157432,0.000233093,0.002788558,8.88E-05,0.000593939
0.000156883,4.22E-05,0.000142926,0.000216116,0.003874793,0.00012485,0.001890258
8.71E-05,3.38E-05,0.000132317,0.000285494,0.00216736,8.42E-05,0.001037501
2.64E-05,6.67E-05,0.000164999,0.000497364,0.00324053,6.02E-05,0.001365688
3.04E-05,4.53E-05,0.000145996,0.000151033,0.002568412,8.35E-05,0.000922963
4.92E-05,5.14E-05,0.000169817,0.000170011,0.001923642,5.83E-05,0.001070161
2.43E-05,3.90E-05,0.000126925,0.000291256,0.003096199,7.42E-05,0.000697928
2.36E-05,3.47E-05,9.94E-05,0.000304998,0.003212277,5.12E-05,0.001142218
2.85E-05,5.16E-05,7.98E-05,0.000181997,0.001262655,8.08E-05,0.001710885
5.14E-05,6.49E-05,0.000109167,0.000270379,0.002888525,7.18E-05,0.000781721
3.09E-05,5.72E-05,0.000123349,0.000214835,0.00164578,7.62E-05,0.001520612
2.72E-05,3.75E-05,0.00012141,0.0001221,0.002665176,4.95E-05,0.000603243
9.36E-05,5.77E-05,0.000176242,0.000286414,0.004786013,0.000151901,0.000489084
2.52E-05,3.72E-05,6.86E-05,0.000167807,0.00155479,5.55E-05,0.000822669
2.63E-05,7.05E-05,8.54E-05,0.000215764,0.001855186,5.84E-05,0.000949454
3.32E-05,2.29E-05,8.58E-05,7.77E-05,0.001649761,6.93E-05,0.000621067
0.001539003,6.37E-05,6.77E-05,0.000521906,0.003262712,6.66E-05,0.000874193
8.50E-05,6.54E-05,0.000199464,0.000135123,0.001904514,9.90E-05,0.001083765
0.000153211,9.78E-05,0.000213296,0.000641285,0.005660349,0.00028913,0.001480513
2.70E-05,4.61E-05,7.59E-05,0.000242671,0.002277242,5.37E-05,0.001296043
4.91E-05,5.84E-05,9.61E-05,0.000237704,0.002362306,7.50E-05,0.001341777
6.38E-05,3.80E-05,0.000113192,0.00023297,0.002793602,9.02E-05,0.001206468
5.10E-05,5.70E-05,0.000202811,0.000215134,0.002164073,0.000169293,0.00122059
4.60E-05,2.62E-05,7.69E-05,0.000197209,0.00280504,0.000128881,0.001421558
6.74E-05,5.25E-05,0.00019066,0.000295661,0.006576264,0.000168764,0.001133185
2.14E-05,4.20E-05,9.87E-05,0.00037469,0.00269181,7.82E-05,0.000635351
2.39E-05,4.60E-05,9.93E-05,0.000150619,0.001780456,5.71E-05,0.001098758
4.28E-05,0.000103467,0.000115846,0.000248314,0.004602844,8.88E-05,0.001381203
0.000282574,9.68E-05,0.000130958,0.0005651,0.003557725,0.000205819,0.001611675
3.03E-05,2.71E-05,8.28E-05,0.000182998,0.001489782,7.10E-05,0.001309929
3.13E-05,3.93E-05,0.000135997,0.000340179,0.002915639,9.48E-05,0.001606748
3.54E-05,4.20E-05,0.000211177,0.000610585,0.002712951,0.00012609,0.000806535
5.45E-05,0.000102916,0.000421972,0.000773016,0.004237961,0.000150151,0.001368732
0.00011407,7.69E-05,0.000602692,0.000648326,0.003920267,0.00018623,0.000985258
0.000120488,3.69E-05,0.000185836,0.000280253,0.007544768,0.00047549,0.001202184
5.40E-05,6.94E-05,0.000167607,0.000188602,0.001663238,0.000141939,0.000877464
5.76E-05,9.38E-05,0.00021047,0.000833417,0.005808781,0.000212446,0.000981666
3.90E-05,9.60E-05,0.00032009,0.000933122,0.002380578,0.000104972,0.000964445
0.000113353,0.000110065,0.000399151,0.000633074,0.004162807,0.000203745,0.001037091
0.001562083,0.000101357,0.000137184,0.000933568,0.007825197,0.000161571,0.001463156
0.055886781,0.001201974,0.000872227,0.004149394,0.035849642,0.001002255,0.013811686
8.88E-05,3.31E-05,0.000193009,0.000231676,0.001368349,8.82E-05,0.001108218
0.000194168,6.18E-05,0.000160748,0.000228467,0.001410609,6.95E-05,0.000638814
6.36E-05,5.39E-05,0.000180522,0.000228345,0.00150501,0.000145673,0.000588007
0.001696531,0.000127571,0.001398991,0.003586096,0.023877447,0.000408277,0.01286116
0.002677165,0.000547279,0.003460586,0.007095581,0.015509581,0.000930328,0.002060899
8.92E-05,0.000123102,0.000509811,0.001482959,0.0067403,0.000228062,0.003817739
0.000237412,3.92E-05,0.000190622,0.000387491,0.003956429,0.00021347,0.002570145
0.000168947,4.20E-05,0.000221852,0.000193136,0.004179512,0.000258082,0.000923342
9.68E-05,5.53E-05,0.000229248,0.000274032,0.003560608,9.58E-05,0.000936803
5.87E-05,9.29E-05,0.000178394,0.000331248,0.003160321,0.000116138,0.000801661
6.90E-05,4.22E-05,0.000137744,0.000207462,0.001975322,6.76E-05,0.00115061
4.15E-05,4.86E-05,0.000170091,0.00020631,0.001537158,5.00E-05,0.000830886
6.47E-05,3.05E-05,0.000144591,0.000398768,0.002868632,5.47E-05,0.001042291
6.21E-05,3.93E-05,0.000239683,0.000258838,0.003254718,7.57E-05,0.000708463
6.45E-05,3.95E-05,0.000117661,0.000241121,0.001944023,4.11E-05,0.001156386
7.21E-05,5.08E-05,0.000139143,0.000408172,0.004359065,0.000111408,0.001376721
5.05E-05,4.70E-05,0.000114906,0.000299056,0.002180347,0.000116292,0.000792102
5.69E-05,2.29E-05,0.000128546,0.000193878,0.002037677,6.54E-05,0.000909935
4.06E-05,4.79E-05,0.000263125,0.000363488,0.001828591,5.70E-05,0.001188803
4.84E-05,3.60E-05,0.000134644,0.000345761,0.001804227,2.66E-05,0.001661454
4.73E-05,6.06E-05,0.000239735,0.000223699,0.004316161,0.000113641,0.001179167
