0,1,2,3,4,5,6
4.690711718,4.706624572,4.706624572,4.741281931,4.718177025,4.729729478,4.729729478
4.695072119,4.695072119,4.695072119,4.718177025,4.667606811,4.729729478,4.718177025
4.718177025,4.632949452,4.690711718,4.695072119,4.66041476,4.690711718,4.752834384
4.718177025,4.679159265,4.656054358,4.640141504,4.729729478,4.752834384,4.667606811
4.656054358,4.66324641,4.764386837,4.77593929,4.683519666,4.683519666,4.752834384
4.671967213,4.671967213,4.752834384,4.718177025,4.718177025,4.729729478,4.709456222
4.706624572,4.683519666,4.729729478,4.683519666,4.667606811,4.718177025,4.671967213
4.725369077,4.706624572,4.690711718,4.695072119,4.77593929,4.706624572,4.718177025
4.706624572,4.695072119,4.695072119,4.713816624,4.741281931,4.741281931,4.741281931
4.706624572,4.644501905,4.702264171,4.729729478,4.706624572,4.729729478,4.729729478
4.725369077,4.609844546,4.741281931,4.741281931,4.683519666,4.729729478,4.729729478
4.695072119,4.671967213,4.683519666,4.697903769,4.752834384,4.729729478,4.741281931
4.748473983,4.729729478,4.706624572,4.752834384,4.718177025,4.695072119,4.709456222
4.713816624,4.690711718,4.729729478,4.702264171,4.706624572,4.706624572,4.671967213
4.752834384,4.679159265,4.741281931,4.538424232,4.787491743,4.671967213,4.741281931
4.593931692,4.602652495,4.66041476,4.609844546,4.667606811,4.527448625,4.640141504
4.667606811,4.706624572,4.709456222,4.729729478,4.651693957,4.718177025,4.656054358
4.729729478,4.77593929,4.640141504,4.718177025,4.632949452,4.690711718,4.729729478
4.725369077,4.729729478,4.764386837,4.752834384,4.729729478,4.706624572,4.718177025
4.695072119,4.702264171,4.702264171,4.706624572,4.695072119,4.718177025,4.718177025
4.695072119,4.656054358,4.671967213,4.695072119,4.741281931,4.729729478,4.690711718
4.702264171,4.612676197,4.695072119,4.686351316,4.729729478,4.702264171,4.725369077
4.683519666,4.578018838,4.679159265,4.718177025,4.741281931,4.741281931,4.752834384
4.752834384,4.729729478,4.725369077,4.621396999,4.683519666,4.66041476,4.702264171
4.725369077,4.729729478,4.741281931,4.764386837,4.741281931,4.718177025,4.73692153
4.706624572,4.671967213,4.741281931,4.713816624,4.671967213,4.679159265,4.741281931
4.752834384,4.644501905,4.667606811,4.644501905,4.718177025,4.690711718,4.690711718
4.764386837,4.706624572,4.741281931,4.729729478,4.66041476,4.718177025,4.741281931
4.748473983,4.66041476,4.752834384,4.718177025,4.729729478,4.729729478,4.748473983
4.741281931,4.706624572,4.695072119,4.741281931,4.764386837,4.713816624,4.729729478
4.729729478,4.706624572,4.656054358,4.695072119,4.741281931,4.718177025,4.706624572
4.718177025,4.695072119,4.729729478,4.73692153,4.713816624,4.718177025,4.718177025
4.690711718,4.741281931,4.706624572,4.748473983,4.764386837,4.741281931,4.644501905
4.718177025,4.741281931,4.667606811,4.702264171,4.702264171,4.752834384,4.632949452
4.690711718,4.66041476,4.729729478,4.729729478,4.706624572,4.741281931,4.690711718
4.718177025,4.656054358,4.628589051,4.729729478,4.679159265,4.718177025,4.706624572
4.605484145,4.644501905,4.617036598,4.73692153,4.718177025,4.718177025,4.741281931
4.702264171,4.648862307,4.725369077,4.729729478,4.741281931,4.752834384,4.718177025
4.667606811,4.706624572,4.702264171,4.729729478,4.741281931,4.718177025,4.671967213
4.706624572,4.667606811,4.706624572,4.752834384,4.706624572,4.695072119,4.729729478
4.718177025,4.729729478,4.702264171,4.695072119,4.729729478,4.713816624,4.764386837
4.741281931,4.729729478,4.741281931,4.702264171,4.752834384,4.718177025,4.702264171
4.656054358,4.667606811,4.718177025,4.690711718,4.725369077,4.741281931,4.706624572
4.752834384,4.695072119,4.729729478,4.741281931,4.706624572,4.667606811,4.690711718
4.679159265,4.702264171,4.690711718,4.706624572,4.741281931,4.764386837,4.628589051
4.706624572,4.718177025,4.718177025,4.729729478,4.718177025,4.741281931,4.729729478
4.718177025,4.625757401,4.706624572,4.725369077,4.702264171,4.718177025,4.729729478
4.671967213,4.741281931,4.729729478,4.718177025,4.718177025,4.741281931,4.706624572
4.741281931,4.648862307,4.706624572,4.718177025,4.729729478,4.741281931,4.671967213
4.695072119,4.456605156,4.683519666,4.695072119,4.601123744,4.656054358,4.702264171
4.729729478,4.729729478,4.695072119,4.752834384,4.671967213,4.718177025,4.729729478
2.384884924,2.384884924,2.396437377,2.396437377,2.37333247,2.396437377,2.37333247
3.793980784,3.805533237,3.793980784,3.863295502,3.789620383,3.793980784,3.840190596
4.718177025,4.671967213,4.706624572,4.702264171,4.702264171,4.764386837,4.706624572
4.695072119,4.679159265,4.729729478,4.718177025,4.764386837,4.718177025,4.702264171
4.695072119,4.706624572,4.718177025,4.718177025,4.729729478,4.741281931,4.77593929
4.729729478,4.741281931,4.674798863,4.667606811,4.683519666,4.752834384,4.729729478
4.73692153,4.66324641,4.752834384,4.729729478,4.718177025,4.73692153,4.695072119
4.718177025,4.695072119,4.706624572,4.718177025,4.651693957,4.702264171,4.695072119
4.667606811,4.787491743,4.695072119,4.729729478,4.718177025,4.644501905,4.718177025
4.718177025,4.601123744,4.706624572,4.752834384,4.702264171,4.725369077,4.752834384
4.741281931,4.718177025,4.741281931,4.729729478,4.729729478,4.706624572,4.706624572
4.729729478,4.632949452,4.729729478,4.741281931,4.741281931,4.66324641,4.741281931
4.679159265,4.741281931,4.718177025,4.729729478,4.706624572,4.741281931,4.77593929
4.752834384,4.686351316,4.729729478,4.706624572,4.695072119,4.706624572,4.695072119
4.725369077,4.713816624,4.729729478,4.679159265,4.713816624,4.671967213,4.729729478
4.718177025,4.66041476,4.695072119,4.683519666,4.741281931,4.718177025,4.764386837
4.706624572,4.667606811,4.752834384,4.718177025,4.695072119,4.741281931,4.741281931
4.764386837,4.729729478,4.718177025,4.77593929,4.706624572,4.752834384,4.695072119
4.66324641,4.718177025,4.706624572,4.741281931,4.729729478,4.729729478,4.706624572
4.706624572,4.706624572,4.729729478,4.706624572,4.718177025,4.729729478,4.752834384
4.679159265,4.667606811,4.718177025,4.718177025,4.764386837,4.695072119,4.718177025
4.706624572,4.679159265,4.764386837,4.683519666,4.667606811,4.741281931,4.764386837
4.718177025,4.695072119,4.679159265,4.752834384,4.690711718,4.741281931,4.679159265
4.713816624,4.695072119,4.77593929,4.718177025,4.729729478,4.741281931,4.752834384
4.695072119,4.656054358,4.729729478,4.702264171,4.741281931,4.752834384,4.718177025
4.702264171,4.679159265,4.683519666,4.671967213,4.764386837,4.741281931,4.725369077
4.741281931,4.741281931,4.760026436,4.718177025,4.686351316,4.729729478,4.706624572
4.690711718,4.741281931,4.729729478,4.748473983,4.752834384,4.690711718,4.695072119
4.674798863,4.73692153,4.752834384,4.729729478,4.729729478,4.679159265,4.713816624
4.706624572,4.602652495,4.706624572,4.683519666,4.718177025,4.706624572,4.764386837
4.725369077,4.718177025,4.725369077,4.702264171,4.77593929,4.741281931,4.764386837
4.718177025,4.651693957,4.713816624,4.741281931,4.752834384,4.683519666,4.73692153
4.729729478,4.706624572,4.695072119,4.713816624,4.702264171,4.729729478,4.752834384
4.718177025,4.695072119,4.718177025,4.729729478,4.741281931,4.686351316,4.690711718
4.729729478,4.718177025,4.706624572,4.729729478,4.729729478,4.706624572,4.760026436
4.614204948,4.656054358,4.667606811,4.702264171,4.741281931,4.729729478,4.729729478
4.718177025,4.718177025,4.752834384,4.77593929,4.725369077,4.718177025,4.729729478
4.718177025,4.741281931,4.741281931,4.718177025,4.713816624,4.702264171,4.695072119
