0,1,2,3,4,5,6
-0.363775216,0.410941246,-0.406911669,0.290689027,0.354009216,0.391543099,-0.028177323
-0.034021651,-0.305713299,0.24253602,0.483910566,0.083873436,0.357239392,0.157640427
1.284519053,-0.624023523,0.158149988,-0.17155315,-0.061306168,0.489215201,-0.351299062
0.873214506,-1.295121575,-0.323251364,1.126831842,1.252790065,0.920687163,-0.298162932
0.417678678,-0.280713365,-0.454374021,-0.709025435,-0.102220619,0.243809895,-0.165565614
-0.317491683,0.023669329,-0.175033426,0.293699077,-0.220516246,0.634815584,-0.478983179
0.485300007,0.008819204,-0.275733416,-0.090767119,-0.046850558,-0.997474207,0.082603173
-0.616514302,0.225548532,0.167103788,-0.104273156,-0.405819954,-0.349992384,-0.049766626
0.524063014,0.638389284,1.093300342,1.176576725,-0.267439535,0.120399252,-0.448757474
-0.339324112,0.069740007,0.204620781,0.15687937,0.62555934,0.666253257,0.143072896
0.175028927,0.126616224,-0.215278053,0.289259355,-0.510770635,-0.596067103,0.471458126
0.089448255,-0.036928411,0.296142165,0.019872488,-0.471674791,0.12987498,0.679394667
-0.665644189,0.357629305,0.678181303,-0.018824202,-0.161458354,0.278783636,-0.381011476
0.494237207,-0.578749131,-0.161751976,0.063409911,-0.167248026,0.322767072,0.161050239
-0.510740589,1.024367709,-0.855440156,-0.198321551,0.114958585,0.40922937,0.487157145
-0.339829014,-0.02345131,-0.081871747,0.328774835,-0.625328388,0.090617465,0.153081662
0.308553452,0.314094869,-0.010194426,-0.025719118,-0.225161462,0.078260117,-0.09461884
-0.110511897,-0.029229623,0.09943006,-0.045186639,-0.057385434,0.33527921,-0.36870335
0.521128074,0.059159325,0.42083819,0.277183949,0.471906912,-0.115814988,-0.427203193
0.098122309,0.27799468,-1.028411247,-0.147025049,-0.931592027,0.027267781,0.114934837
0.174285922,-1.458146401,-0.199291254,0.474001101,0.492458671,0.12325188,-0.108422241
0.266966182,-0.198641312,-0.133600997,-0.144205618,0.119718879,0.2734815,-0.665466562
-0.151488864,0.332880644,-0.258002946,0.250733902,0.143859581,0.822979798,-0.17173051
-0.097800622,0.040349823,0.109548446,-0.565870464,-0.330310237,0.411769466,0.390062679
0.220224503,0.810049046,-0.159386083,-0.305582236,0.032655478,0.302054578,-0.067422286
0.580512384,0.194021994,-0.403596114,0.610398315,-0.714095115,0.620259527,-0.28762925
-0.024436442,-0.398212746,0.014754654,-0.64480807,-0.283407037,-0.058209603,-0.449358409
0.533497142,0.060349442,-0.723421302,0.504420647,-0.386142134,-0.252461591,0.345145056
0.33152384,-0.175673035,-0.631032135,-0.339538223,-0.248625576,0.543035888,0.759271472
-0.303319983,0.145552015,0.533203201,-0.231743428,0.049997165,-0.08263714,-0.118690497
0.471534534,0.592742536,-0.090254025,0.459160085,-0.341242952,0.36060096,0.099866934
-0.35771649,0.117637053,-0.079199278,1.018973742,0.013466735,-0.221073383,-0.280175263
0.220606313,0.345651656,0.314083647,0.336351708,-0.417634362,-0.493865063,-0.053297454
2.712857851,-1.375823181,-0.697166419,2.398800846,2.000429465,-0.716839045,0.575572288
0.205421118,0.117384104,-0.214125048,0.171621258,0.011531001,0.038753452,-0.044232864
0.103859827,0.599617258,0.093192158,-0.304127989,-0.339266188,-0.354495438,-0.088257965
0.102594489,-0.265418574,0.118650004,-0.201757227,-0.444028289,0.247437342,0.337432556
-0.119150355,0.144335408,-0.258110057,-0.048070941,0.285122336,-0.007980078,-0.335831097
0.208060245,-0.282835332,0.024750077,-0.517086595,0.134407673,0.398000558,0.061914001
0.43603032,-0.005717769,-0.936567189,0.270402876,-0.451780987,-0.299844281,0.355454994
0.188966839,-0.178320168,-0.33175749,-0.200834366,0.112743664,-0.221803919,0.175491175
-0.148473506,0.167407322,0.075788681,0.283349498,0.26951554,0.078112458,-0.975891412
0.854713415,0.41240489,0.049702488,0.19059702,0.020270388,0.481112833,-0.739534911
0.694690284,-0.170960278,-0.309418916,-0.406504518,-0.0932425,-0.135945761,0.082724402
-0.170370476,-0.016080836,0.736847229,-0.098299943,0.245468284,-0.141998177,0.002781759
-0.379222355,0.322101904,0.017312994,0.236682471,-0.121920183,-0.031047788,-0.202037226
-0.472253671,-0.120885853,0.17456932,0.293088181,0.447533127,0.310442622,-0.267446997
0.597413914,0.067722731,-0.195657616,0.461013684,-0.734988348,-0.194455084,-0.522397064
-0.179751139,-0.248700803,0.753185689,0.733652102,0.076675225,1.220454132,-0.38854952
-0.410495467,0.539842928,-0.177254231,0.145376853,-0.284512685,0.22074916,0.128748245
-0.080830798,-0.189007501,-0.319615467,0.21290313,0.468387247,0.922869581,-0.811427899
0.533983227,-0.071079294,0.184594219,0.653797036,0.436870601,0.769985213,-0.083019285
-0.041892442,-0.073340185,-0.656071799,0.233038351,0.661951819,0.163181796,-0.139468693
0.499700447,-0.139737141,-0.177052088,-0.016295115,0.235068252,0.14432725,0.064023157
-0.836603917,0.517221525,0.346580017,0.020614872,0.157405154,-0.066382149,-0.582123646
0.868677265,-0.409564544,-0.362326457,-0.280140645,-0.453669324,-0.344262144,-0.39887812
0.133951422,0.067271145,-0.719742825,-0.083518258,-0.002972264,0.633865546,-0.119964322
-0.681955367,0.176330922,0.423536555,0.313989227,-0.145596766,0.326834858,0.080254933
-0.045740386,0.838685205,0.229153336,0.532031081,0.2114708,-0.103627641,-0.477627132
0.247521157,0.294631747,-1.621920918,-1.350774931,-0.434007165,-0.234140303,0.663229843
-0.045724842,0.332393411,1.118245917,1.288149249,-0.116636617,0.202644298,0.532919628
-0.09238134,-0.825420559,0.140903045,0.060372384,-0.687744084,-0.302340479,-0.54099597
0.837841877,-0.260088171,0.038689076,-0.170612027,0.099165916,-0.061810756,-0.114886257
-0.157737925,0.210916591,-0.353116182,0.644249586,0.31396572,-0.052306144,-0.328625008
